region,district,year,month,anomaly_label,anomaly_score,is_anomaly
Ahafo,Goaso,2008,5,1,0.4253905059561691,0
Ahafo,Asutifi North,2008,6,1,0.4245578689977899,0
Ahafo,Goaso,2008,6,1,0.4105321141456748,0
Ahafo,Asutifi North,2008,7,1,0.40863319577034807,0
Ahafo,Goaso,2008,7,1,0.4030311021400086,0
Ahafo,Asutifi North,2008,8,1,0.435026165884451,0
Ahafo,Goaso,2008,8,1,0.4316818556701988,0
Ahafo,Asutifi North,2008,9,1,0.4140199704716932,0
Ahafo,Goaso,2008,9,1,0.4087690382660401,0
Ahafo,Asutifi North,2008,10,1,0.4116067259787279,0
Ahafo,Goaso,2008,10,1,0.40590337564659434,0
Ahafo,Asutifi North,2008,11,1,0.4189848496160442,0
Ahafo,Goaso,2008,11,1,0.4320413079979977,0
Ahafo,Asutifi North,2008,12,1,0.4349742122717972,0
Ahafo,Goaso,2008,12,1,0.4399434032691693,0
Ahafo,Asutifi North,2009,1,1,0.4798819060740305,0
Ahafo,Goaso,2009,1,1,0.4823691420568454,0
Ahafo,Asutifi North,2009,2,1,0.47733302187837356,0
Ahafo,Goaso,2009,2,1,0.47481694904961846,0
Ahafo,Asutifi North,2009,3,1,0.455405210014529,0
Ahafo,Goaso,2009,3,1,0.4334631948933527,0
Ahafo,Asutifi North,2009,4,1,0.4312468468039774,0
Ahafo,Goaso,2009,4,1,0.42866849774851123,0
Ahafo,Asutifi North,2009,5,1,0.4481707748900759,0
Ahafo,Goaso,2009,5,1,0.4202880031313056,0
Ahafo,Asutifi North,2009,6,1,0.40935998943232393,0
Ahafo,Goaso,2009,6,1,0.4113394087460116,0
Ahafo,Asutifi North,2009,7,1,0.43458627497263397,0
Ahafo,Goaso,2009,7,1,0.4112347467437126,0
Ahafo,Asutifi North,2009,8,1,0.4794059409608576,0
Ahafo,Goaso,2009,8,1,0.4021990940287387,0
Ahafo,Asutifi North,2009,9,1,0.45888824245378995,0
Ahafo,Goaso,2009,9,1,0.40677442533394736,0
Ahafo,Asutifi North,2009,10,1,0.4542963040062632,0
Ahafo,Goaso,2009,10,1,0.39941397911198545,0
Ahafo,Asutifi North,2009,11,1,0.45844480689221295,0
Ahafo,Goaso,2009,11,1,0.4046723676977198,0
Ahafo,Asutifi North,2009,12,1,0.4257819414137537,0
Ahafo,Goaso,2009,12,1,0.4264080366866225,0
Ahafo,Asutifi North,2010,1,1,0.46883839521648835,0
Ahafo,Goaso,2010,1,1,0.4688401973777247,0
Ahafo,Asutifi North,2010,2,1,0.46544691785678216,0
Ahafo,Goaso,2010,2,1,0.46117086684146946,0
Ahafo,Asutifi North,2010,3,1,0.43807837471948646,0
Ahafo,Goaso,2010,3,1,0.4298672308918842,0
Ahafo,Asutifi North,2010,4,1,0.43067355040701594,0
